Rinkimø pavadinimas;Apygardos Nr.;Apygardos pavadinimas;Apylinkës Unikalus Numeris;Apylinkës nr.;Apylinkës pavadinimas;Savivaldybës pavadinimas;Viso rinkëjø sàraðe;"Ið viso balsavo apylinkëje
 (Pat.+Paðt.)";Rinkëjø iki 24 m. (Vyrø);Rinkëjø iki 24 m. (Moterø);Balsavo iki 24 m. (Vyrø);Balsavo iki 24 m. (Moterø);Rinkëjø 25 -  29 m. (Vyrø);Rinkëjø 25 - 29 m. (Moterø);Bals. iki 25 - 29 m. (Vyrø);Bals. iki 25 - 29 m. (Moterø);Rinkëjø 30 -  34 m. (Vyrø);Rinkëjø 30 - 34 m. (Moterø);Bals. iki 30 - 34 m. (Vyrø);Bals. iki 30 - 34 m. (Moterø);Rink. 35 - 44 m. (Vyrø);Rink. 35 - 44 m. (Moterø);Bals. 35 - 44 m. (Vyrø);Bals. 35 - 44 m. (Moterø);Rink. 45 - 54 m. (Vyrø);Rink. 45 - 54 m. (Moterø);Bals. 45 - 54 m. (Vyrø);Bals. 45 - 54 m. (Moterø);Rink. 55 - 64 m. (Vyrø);Rink. 55 - 64 m. (Moterø);Bals. 55 - 64 m. (Vyrø);Bals. 55 - 64 m. (Moterø);Rink. 65 - 74 m. (Vyrø);Rink. 65 - 74 m. (Moterø);Bals. 65 - 74 m. (Vyrø);Bals. 65 - 74 m. (Moterø);Rink. nuo 75 m. (Vyrø);Rink. nuo 75 m. (Moterø);Bals. nuo 75 m. (Vyrø);Bals. nuo 75 m. (Moterø)
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57002;2;Gedimino;Vilniaus miesto savivaldybë;3356;1790;95;96;47;63;132;122;67;76;246;262;141;145;410;492;206;249;240;289;114;170;206;188;96;109;109;184;63;101;88;197;46;97
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57003;3;Saltoniðkiø;Vilniaus miesto savivaldybë;2885;1875;82;77;49;44;99;111;73;76;199;205;145;152;382;460;251;291;175;231;123;148;132;202;79;118;83;168;55;112;88;191;53;106
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57004;4;Sëliø;Vilniaus miesto savivaldybë;2126;1336;81;70;44;42;80;71;50;57;103;124;64;86;238;291;167;196;147;182;82;109;142;187;77;131;84;147;45;86;64;115;39;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57006;6;Vytauto;Vilniaus miesto savivaldybë;2773;1648;109;100;69;61;95;90;64;59;98;85;57;59;243;298;152;183;218;262;120;171;187;246;110;143;156;219;81;114;115;252;75;130
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57007;7;Birutës;Vilniaus miesto savivaldybë;1988;1310;76;62;49;34;52;55;39;40;66;87;42;65;188;251;131;176;181;199;123;135;130;172;79;114;88;135;54;85;84;162;51;93
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57008;8;Pamënkalnio;Vilniaus miesto savivaldybë;1997;1318;63;73;41;37;66;64;44;47;106;137;85;90;200;264;139;183;139;171;95;125;138;174;74;113;83;125;49;85;67;127;40;71
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57010;10;Taurakalnio;Vilniaus miesto savivaldybë;1698;1109;63;62;41;47;53;56;45;38;73;98;52;65;180;207;127;144;137;153;84;94;111;137;68;79;75;125;44;84;57;111;34;63
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57013;13;Mindaugo;Vilniaus miesto savivaldybë;2329;1371;74;83;45;49;92;77;57;56;142;133;98;101;218;211;141;135;181;212;90;128;154;225;70;128;79;163;43;94;78;207;43;93
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57051;51;Dailës;Vilniaus miesto savivaldybë;1783;1135;82;66;50;43;64;73;40;44;91;76;62;52;167;205;113;143;151;181;100;110;144;178;83;116;73;103;47;68;46;83;22;42
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57052;52;Uþupio;Vilniaus miesto savivaldybë;2677;1357;116;85;52;42;74;92;36;45;124;144;63;73;306;388;174;227;209;239;107;123;158;218;72;98;107;175;52;91;83;159;41;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57060;60;Senamiesèio;Vilniaus miesto savivaldybë;1965;1297;64;73;44;49;71;88;56;67;101;121;77;71;209;222;148;161;131;165;77;110;137;160;85;113;91;142;51;86;60;130;41;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57062;62;Naugarduko;Vilniaus miesto savivaldybë;3060;1961;111;100;63;56;110;117;70;91;150;190;116;135;348;369;244;265;279;292;184;188;187;257;109;151;109;165;67;99;78;198;42;81
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57065;65;A. Vienuolio;Vilniaus miesto savivaldybë;1640;1021;48;48;25;31;66;66;46;48;84;84;55;62;159;165;111;118;134;162;81;100;122;160;72;98;59;94;32;49;63;126;34;59
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57066;66;M. Daukðos;Vilniaus miesto savivaldybë;2501;1330;103;87;54;44;84;93;41;62;150;138;83;85;294;271;169;164;204;225;97;122;177;229;86;113;103;175;51;78;47;121;21;60
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57067;67;V. Ðopeno;Vilniaus miesto savivaldybë;2309;1314;69;71;45;36;74;101;43;70;139;183;92;124;286;302;186;190;159;210;77;115;173;196;76;110;64;138;28;64;35;109;21;37
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57012;12;S. Konarskio;Vilniaus miesto savivaldybë;3324;1950;123;110;80;74;91;111;47;75;145;160;87;100;321;392;189;232;210;249;125;157;262;385;133;221;195;279;115;164;96;195;57;94
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57015;15;Vytenio;Vilniaus miesto savivaldybë;2879;1809;78;76;43;50;138;150;96;109;233;275;184;217;333;322;231;226;159;205;89;105;164;244;71;133;78;152;37;85;76;196;42;91
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57016;16;Þemaitës;Vilniaus miesto savivaldybë;3298;1727;96;103;42;51;171;181;96;129;274;279;185;188;268;321;166;163;181;215;73;84;228;317;98;148;121;241;51;117;83;219;38;98
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57017;17;Algirdo;Vilniaus miesto savivaldybë;3845;2138;115;137;54;80;161;194;97;118;297;311;211;230;391;427;247;257;243;297;114;149;251;346;101;156;136;246;65;122;77;216;41;96
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57401;401;Vingio;Vilniaus miesto savivaldybë;2451;1154;100;68;45;34;96;97;53;51;104;118;54;64;194;200;75;89;167;195;72;80;210;304;88;158;93;202;43;101;68;235;39;108
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57407;407;Skroblø;Vilniaus miesto savivaldybë;2874;1452;88;110;34;59;123;122;66;70;139;139;86;81;202;225;96;110;205;235;92;112;195;315;80;164;151;274;82;147;111;240;63;110
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57409;409;Gerosios Vilties;Vilniaus miesto savivaldybë;3076;1325;118;115;48;50;108;116;50;54;117;131;60;61;208;224;83;108;250;299;89;124;177;302;63;142;114;241;53;100;142;414;61;179
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57452;452;Lietuviø namø;Vilniaus miesto savivaldybë;2050;767;79;88;27;24;66;67;18;32;92;101;37;46;156;149;51;56;168;179;59;81;175;253;63;92;113;180;37;71;50;134;23;50
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57453;453;Dzûkø;Vilniaus miesto savivaldybë;3095;1190;140;101;36;38;110;123;44;58;141;139;51;57;247;273;81;104;224;282;72;104;261;351;98;139;149;268;68;120;79;207;35;85
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57454;454;Kapsø;Vilniaus miesto savivaldybë;2110;797;69;73;17;28;61;54;20;26;103;92;38;33;149;168;47;67;142;213;42;90;196;260;58;111;89;175;29;78;64;202;33;80
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57456;456;Kaminkelio;Vilniaus miesto savivaldybë;2538;1026;98;107;43;38;89;91;36;43;109;106;44;44;220;221;85;89;214;272;76;109;219;337;79;132;105;180;45;83;58;112;30;50
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57457;457;Naujininkø;Vilniaus miesto savivaldybë;3007;1125;93;93;37;36;100;92;37;41;132;111;46;37;173;181;57;47;238;287;80;105;263;361;83;152;133;239;53;110;131;380;58;146
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57458;458;Broliø;Vilniaus miesto savivaldybë;2479;877;83;96;26;35;79;87;28;39;128;136;46;52;182;201;58;64;170;220;43;77;201;294;72;97;113;213;38;86;55;221;28;88
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57101;101;Filaretø;Vilniaus miesto savivaldybë;2608;1551;128;118;73;79;94;82;56;52;109;117;62;75;237;301;159;188;186;281;119;178;161;210;88;112;141;205;75;116;83;155;46;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57102;102;Olandø;Vilniaus miesto savivaldybë;1600;1022;57;60;30;44;47;59;32;44;59;79;45;52;141;174;95;129;122;156;67;97;101;134;63;83;66;114;35;72;81;150;51;83
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57104;104;L. Sapiegos;Vilniaus miesto savivaldybë;2891;1445;96;89;54;51;100;96;61;44;96;120;45;60;221;279;130;138;229;257;114;142;163;230;77;100;159;269;75;124;153;334;87;143
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57105;105;Ðilo;Vilniaus miesto savivaldybë;3739;2341;156;139;92;80;125;134;86;85;155;189;106;122;374;415;250;288;291;338;189;227;208;316;114;183;148;259;83;157;140;352;91;188
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57107;107;Antakalnio;Vilniaus miesto savivaldybë;2952;1628;86;101;51;62;118;132;81;87;135;165;71;95;183;214;106;128;175;242;86;144;186;285;90;146;109;220;60;114;165;436;86;221
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57109;109;Ðvyturio;Vilniaus miesto savivaldybë;3357;1914;108;120;67;71;111;104;55;62;145;166;87;106;292;328;183;210;277;317;144;190;214;299;113;148;120;285;63;146;144;327;92;177
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57111;111;B. Sruogos;Vilniaus miesto savivaldybë;4163;2747;132;129;86;90;154;145;109;105;208;232;138;165;351;434;250;300;276;358;190;235;277;344;166;231;142;272;76;154;197;512;136;316
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57112;112;Saulëtekio;Vilniaus miesto savivaldybë;1888;1345;106;93;80;62;72;86;50;61;103;122;78;89;217;248;147;173;178;179;128;133;119;143;92;108;64;73;41;46;36;49;25;32
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57113;113;Valakupiø;Vilniaus miesto savivaldybë;2596;1562;142;112;71;61;83;104;38;63;116;132;66;80;253;271;156;175;222;261;143;172;227;265;138;158;94;112;58;58;64;138;44;81
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57120;120;Antaviliø;Vilniaus miesto savivaldybë;2851;1684;149;123;89;64;86;94;50;54;96;101;53;59;250;269;152;172;287;292;185;189;246;233;143;144;122;175;76;108;90;238;54;92
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57121;121;Dvarèioniø;Vilniaus miesto savivaldybë;2840;1560;104;114;53;48;107;108;58;69;153;171;76;92;309;325;174;190;253;220;138;123;221;259;123;155;130;176;69;98;55;135;32;62
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57122;122;Kairënø;Vilniaus miesto savivaldybë;1940;1091;78;82;37;40;73;83;36;44;110;104;62;63;217;213;131;125;169;178;96;98;148;178;87;100;85;109;54;60;50;63;28;30
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57151;151;Þirmûnø;Vilniaus miesto savivaldybë;2272;1171;69;86;40;44;81;83;39;47;90;96;51;55;140;183;77;99;168;192;69;105;149;199;64;106;68;180;34;115;159;329;75;151
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57152;152;Kareiviø;Vilniaus miesto savivaldybë;1800;917;59;65;33;41;59;60;31;39;78;71;37;31;122;144;72;82;138;164;64;100;101;154;38;77;67;132;30;70;111;275;51;121
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57153;153;Prekybininkø;Vilniaus miesto savivaldybë;2860;1394;105;101;43;63;144;123;71;61;136;129;64;60;208;204;104;120;222;302;100;153;241;329;86;148;68;133;31;61;102;313;69;160
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57154;154;Miestelio;Vilniaus miesto savivaldybë;2078;966;61;71;28;36;81;73;45;40;82;108;41;52;172;184;79;86;126;161;44;64;135;199;50;89;85;175;42;77;93;272;50;143
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57155;155;Moksleiviø;Vilniaus miesto savivaldybë;2748;1187;85;97;25;38;104;108;45;53;106;127;43;58;190;222;82;106;201;251;74;109;193;268;69;121;105;214;48;103;97;380;49;164
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57156;156;Raitininkø;Vilniaus miesto savivaldybë;2395;1541;72;64;44;39;94;104;63;70;137;169;96;114;234;283;164;181;159;191;97;139;102;187;66;120;86;150;56;84;125;238;77;131
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57157;157;Sporto;Vilniaus miesto savivaldybë;2453;1328;93;74;47;40;81;72;48;42;99;105;57;62;164;200;98;122;205;253;107;141;145;195;71;106;79;175;45;98;135;378;69;175
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57158;158;Kazliðkiø;Vilniaus miesto savivaldybë;2058;1090;51;51;29;31;64;72;34;50;77;91;43;57;153;170;85;105;131;165;59;84;135;204;64;101;90;225;41;111;105;274;53;143
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57159;159;Rinktinës;Vilniaus miesto savivaldybë;1936;1065;59;51;30;31;55;63;30;32;63;83;39;49;143;153;78;81;128;147;57;85;106;160;51;72;108;204;50;122;131;282;86;172
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57160;160;Tuskulënø;Vilniaus miesto savivaldybë;2785;1520;90;92;44;54;130;142;77;91;129;156;87;99;220;251;123;156;174;251;80;132;160;222;80;112;92;210;44;106;148;318;81;154
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57162;162;Minties;Vilniaus miesto savivaldybë;2924;1426;94;90;39;54;97;92;56;52;141;158;68;87;218;241;100;122;190;261;79;138;214;285;89;139;76;195;32;100;146;426;84;187
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57166;166;Kalvarijø;Vilniaus miesto savivaldybë;3140;1646;95;93;42;49;135;107;71;62;169;208;104;120;288;317;168;183;187;256;84;128;212;305;98;158;120;234;52;114;116;298;69;144
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57167;167;S. Þukausko;Vilniaus miesto savivaldybë;2482;1627;92;74;43;45;98;93;69;56;110;171;80;115;346;451;248;304;190;265;121;174;116;155;72;102;47;99;27;62;56;119;39;70
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );4;Þirmûnø;57168;168;Þygio;Vilniaus miesto savivaldybë;2829;1536;90;103;45;50;98;110;53;78;164;164;96;97;330;383;205;225;205;259;102;134;142;203;72;105;91;197;41;100;79;211;39;94
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57055;55;Didlaukio;Vilniaus miesto savivaldybë;2868;1448;106;111;59;63;99;114;42;63;123;136;68;67;211;252;97;123;234;258;101;133;189;320;91;150;116;249;64;138;118;232;68;121
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57068;68;Gerviðkiø;Vilniaus miesto savivaldybë;1968;1269;56;100;35;57;168;214;125;155;249;326;181;214;257;245;169;151;79;83;46;47;41;61;14;29;21;44;8;24;5;19;5;9
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57205;205;Fabijoniðkiø;Vilniaus miesto savivaldybë;4409;2173;138;124;55;68;179;186;91;122;283;294;159;174;437;441;218;209;223;287;100;135;351;546;147;250;230;401;110;203;104;185;59;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57206;206;Jovaro;Vilniaus miesto savivaldybë;3463;1682;102;89;47;47;99;102;47;55;184;166;93;91;284;309;119;123;208;234;81;114;280;475;136;242;225;413;121;231;98;195;50;85
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57207;207;S. Stanevièiaus;Vilniaus miesto savivaldybë;3437;1748;104;100;51;46;113;131;50;69;163;179;72;89;300;317;136;175;189;212;90;107;334;541;173;293;214;309;112;174;75;156;42;69
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57208;208;Kaimelio;Vilniaus miesto savivaldybë;2610;1314;114;81;47;47;73;74;43;37;104;133;41;65;267;304;142;152;177;211;79;104;163;257;82;140;188;268;102;142;65;131;36;55
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57209;209;L. Giros;Vilniaus miesto savivaldybë;3231;1849;126;118;77;66;147;127;85;81;169;164;99;100;331;350;184;190;209;258;116;156;252;400;139;234;164;218;94;115;72;126;47;66
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57210;210;P. Þadeikos;Vilniaus miesto savivaldybë;2032;1074;74;70;41;38;61;67;34;29;91;92;39;55;234;240;111;120;130;153;72;88;145;246;74;133;102;190;54;108;48;89;30;48
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57211;211;Gedvydþiø;Vilniaus miesto savivaldybë;2859;1514;88;82;39;39;107;84;52;48;150;146;74;81;258;259;120;136;150;188;82;102;303;453;159;253;165;253;97;142;56;117;28;62
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57213;213;S. Nëries;Vilniaus miesto savivaldybë;3987;1829;150;137;75;54;156;156;73;80;201;240;101;105;491;568;201;264;286;329;122;152;207;329;100;146;172;315;92;167;76;174;34;63
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );5;Fabijoniðkiø;57262;262;Gelvonø;Vilniaus miesto savivaldybë;3733;1878;127;126;58;67;109;110;56;56;154;157;70;71;334;312;135;141;254;294;110;146;188;301;88;153;270;548;152;324;137;312;87;164
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57054;54;A. Juozapavièiaus;Vilniaus miesto savivaldybë;3172;1834;101;107;52;61;127;133;79;90;187;187;121;131;317;317;194;197;221;267;118;159;217;338;109;187;131;201;61;107;91;230;54;114
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57056;56;Licëjaus;Vilniaus miesto savivaldybë;3815;1843;114;131;56;48;232;288;132;193;288;299;184;174;312;332;147;161;227;287;84;122;266;382;90;168;164;277;62;138;67;149;28;56
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57057;57;Senvagës;Vilniaus miesto savivaldybë;3384;1663;86;109;37;57;125;117;60;76;162;148;93;90;226;222;110;119;226;288;103;135;248;358;98;162;133;270;61;146;184;482;98;218
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57059;59;Konstitucijos;Vilniaus miesto savivaldybë;3495;1793;117;94;54;53;176;225;105;140;259;246;162;151;379;379;211;203;255;264;101;125;233;298;103;126;115;241;50;111;74;140;38;60
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57255;255;Èiobiðkio;Vilniaus miesto savivaldybë;3234;1431;108;117;43;48;96;107;43;50;130;141;58;66;262;255;119;116;245;306;79;132;166;273;72;115;182;396;85;208;145;305;67;130
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57256;256;Musninkø;Vilniaus miesto savivaldybë;3320;1582;125;102;68;57;96;77;47;36;111;131;45;58;283;302;121;136;265;295;116;136;196;307;91;151;214;430;110;235;128;258;63;112
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57257;257;Dûkðtø;Vilniaus miesto savivaldybë;2455;1225;86;78;30;29;80;76;41;35;92;89;53;41;181;214;75;99;209;203;86;96;114;182;54;105;157;328;75;191;123;243;74;141
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57258;258;Ðeðkinës;Vilniaus miesto savivaldybë;2105;1052;56;63;31;38;70;72;31;34;124;91;57;50;167;181;79;99;122;169;55;85;164;277;68;143;119;216;60;125;59;155;28;69
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57259;259;Ukmergës;Vilniaus miesto savivaldybë;3182;1475;106;128;48;53;116;106;53;45;124;113;56;56;266;278;109;135;231;269;87;121;169;289;67;140;199;405;99;218;126;257;65;123
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57260;260;Þygimanto Augusto;Vilniaus miesto savivaldybë;2588;1294;80;102;42;44;83;72;48;40;98;104;57;56;268;274;121;150;187;224;85;125;122;208;53;94;148;318;78;170;79;221;39;92
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );6;Ðeðkinës–Ðnipiðkiø;57261;261;Paberþës;Vilniaus miesto savivaldybë;2833;1417;105;95;44;47;77;86;41;43;106;109;49;52;249;232;106;127;168;238;80;106;152;231;66;126;212;427;118;239;110;236;59;114
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );7;Justiniðkiø–Virðuliðkiø;57252;252;Virðuliðkiø;Vilniaus miesto savivaldybë;2569;1214;79;69;39;34;76;76;36;32;83;90;30;40;203;216;92;97;184;211;73;92;101;157;35;72;185;394;99;213;154;291;83;147
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );7;Justiniðkiø–Virðuliðkiø;57253;253;Lûþiø;Vilniaus miesto savivaldybë;2624;1315;103;95;42;39;92;108;40;57;113;103;57;55;169;248;95;131;230;276;119;140;144;206;59;86;106;234;56;125;121;276;73;141
